"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INFRAMAINT","ROAD","EUR","A","1995",,"L"
"AUS","INFRAMAINT","ROAD","EUR","A","1996",,"L"
"AUS","INFRAMAINT","ROAD","EUR","A","1997",,"L"
"AUS","INFRAMAINT","ROAD","EUR","A","1998",,"L"
"AUS","INFRAMAINT","ROAD","EUR","A","1999",,"L"
"AUS","INFRAMAINT","ROAD","EUR","A","2000",,"L"
"AUS","INFRAMAINT","ROAD","EUR","A","2001",630733072,
"AUS","INFRAMAINT","ROAD","EUR","A","2002",614040765,
"AUS","INFRAMAINT","ROAD","EUR","A","2003",624789305,
"AUS","INFRAMAINT","ROAD","EUR","A","2004",706891605,
"AUS","INFRAMAINT","ROAD","EUR","A","2005",755271111,
"AUS","INFRAMAINT","ROAD","EUR","A","2006",769630008,
"AUS","INFRAMAINT","ROAD","EUR","A","2007",873498151,
"AUS","INFRAMAINT","ROAD","EUR","A","2008",899777394,
"AUS","INFRAMAINT","ROAD","EUR","A","2009",1055747608,
"AUS","INFRAMAINT","ROAD","EUR","A","2010",1326907119,"B"
"AUS","INFRAMAINT","ROAD","EUR","A","2011",1552908614,
"AUS","INFRAMAINT","ROAD","EUR","A","2012",1816856257,
"AUS","INFRAMAINT","ROAD","EUR","A","2013",1854864310,
"AUS","INFRAMAINT","ROAD","EUR","A","2014",1930679044,
"AUT","INFRAMAINT","ROAD","EUR","A","1995",531674455,
"AUT","INFRAMAINT","ROAD","EUR","A","1996",477533193,
"AUT","INFRAMAINT","ROAD","EUR","A","1997",463000000,
"AUT","INFRAMAINT","ROAD","EUR","A","1998",533000000,
"AUT","INFRAMAINT","ROAD","EUR","A","1999",527000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2000",508000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2001",520000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2002",293500000,"B"
"AUT","INFRAMAINT","ROAD","EUR","A","2003",387600000,
"AUT","INFRAMAINT","ROAD","EUR","A","2004",457800000,
"AUT","INFRAMAINT","ROAD","EUR","A","2005",443317030,
"AUT","INFRAMAINT","ROAD","EUR","A","2006",495011600,
"AUT","INFRAMAINT","ROAD","EUR","A","2007",485946000,
"AUT","INFRAMAINT","ROAD","EUR","A","2008",467400000,
"AUT","INFRAMAINT","ROAD","EUR","A","2009",516206000,
"AUT","INFRAMAINT","ROAD","EUR","A","2010",558800000,
"AUT","INFRAMAINT","ROAD","EUR","A","2011",494300000,
"AUT","INFRAMAINT","ROAD","EUR","A","2012",517000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2013",559000000,
"AUT","INFRAMAINT","ROAD","EUR","A","2014",667000000,
"BEL","INFRAMAINT","ROAD","EUR","A","1995",58447100,
"BEL","INFRAMAINT","ROAD","EUR","A","1996",62617440,
"BEL","INFRAMAINT","ROAD","EUR","A","1997",59765583,
"BEL","INFRAMAINT","ROAD","EUR","A","1998",51733597,
"BEL","INFRAMAINT","ROAD","EUR","A","1999",58481091,
"BEL","INFRAMAINT","ROAD","EUR","A","2000",59354108,
"BEL","INFRAMAINT","ROAD","EUR","A","2001",61720531,
"BEL","INFRAMAINT","ROAD","EUR","A","2002",68298489,
"BEL","INFRAMAINT","ROAD","EUR","A","2003",72503906,
"BEL","INFRAMAINT","ROAD","EUR","A","2004",76771619,
"BEL","INFRAMAINT","ROAD","EUR","A","2005",80468240,
"BEL","INFRAMAINT","ROAD","EUR","A","2006",103944888,
"BEL","INFRAMAINT","ROAD","EUR","A","2007",94319486,
"BEL","INFRAMAINT","ROAD","EUR","A","2008",101822484,
"BEL","INFRAMAINT","ROAD","EUR","A","2009",111202178,
"BEL","INFRAMAINT","ROAD","EUR","A","2010",184000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2011",156000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2012",145000000,
"BEL","INFRAMAINT","ROAD","EUR","A","2013",147000000,
"CAN","INFRAMAINT","ROAD","EUR","A","1995",3292704520,
"CAN","INFRAMAINT","ROAD","EUR","A","1996",3403666067,
"CAN","INFRAMAINT","ROAD","EUR","A","1997",4120792287,
"CAN","INFRAMAINT","ROAD","EUR","A","1998",4020048480,
"CAN","INFRAMAINT","ROAD","EUR","A","1999",4607398009,
"CAN","INFRAMAINT","ROAD","EUR","A","2000",5886530058,
"CAN","INFRAMAINT","ROAD","EUR","A","2001",5293795258,
"CAN","INFRAMAINT","ROAD","EUR","A","2002",5303542817,
"CAN","INFRAMAINT","ROAD","EUR","A","2003",5251315455,
"CAN","INFRAMAINT","ROAD","EUR","A","2004",5402535533,
"CAN","INFRAMAINT","ROAD","EUR","A","2005",5245743435,
"CAN","INFRAMAINT","ROAD","EUR","A","2006",5413036281,
"CAN","INFRAMAINT","ROAD","EUR","A","2007",6879492398,
"CAN","INFRAMAINT","ROAD","EUR","A","2008",6947577151,
"CAN","INFRAMAINT","ROAD","EUR","A","2009",6551419558,
"CAN","INFRAMAINT","ROAD","EUR","A","2010",8702659146,
"CAN","INFRAMAINT","ROAD","EUR","A","2011",5816437759,
"CAN","INFRAMAINT","ROAD","EUR","A","2012",6232674038,
"CAN","INFRAMAINT","ROAD","EUR","A","2013",3942560655,"B"
"CZE","INFRAMAINT","ROAD","EUR","A","1995",133300669,
"CZE","INFRAMAINT","ROAD","EUR","A","1996",188378626,
"CZE","INFRAMAINT","ROAD","EUR","A","1997",178094316,
"CZE","INFRAMAINT","ROAD","EUR","A","1998",173543013,
"CZE","INFRAMAINT","ROAD","EUR","A","1999",185852944,
"CZE","INFRAMAINT","ROAD","EUR","A","2000",202505688,
"CZE","INFRAMAINT","ROAD","EUR","A","2001",271545145,
"CZE","INFRAMAINT","ROAD","EUR","A","2002",280223348,
"CZE","INFRAMAINT","ROAD","EUR","A","2003",264209006,
"CZE","INFRAMAINT","ROAD","EUR","A","2004",296666771,
"CZE","INFRAMAINT","ROAD","EUR","A","2005",350413001,
"CZE","INFRAMAINT","ROAD","EUR","A","2006",544174723,
"CZE","INFRAMAINT","ROAD","EUR","A","2007",589569978,
"CZE","INFRAMAINT","ROAD","EUR","A","2008",611601058,
"CZE","INFRAMAINT","ROAD","EUR","A","2009",578778135,
"CZE","INFRAMAINT","ROAD","EUR","A","2010",670068027,
"CZE","INFRAMAINT","ROAD","EUR","A","2011",569703131,
"CZE","INFRAMAINT","ROAD","EUR","A","2012",570638992,
"CZE","INFRAMAINT","ROAD","EUR","A","2013",513240955,
"CZE","INFRAMAINT","ROAD","EUR","A","2014",587122313,
"DNK","INFRAMAINT","ROAD","EUR","A","1995",554721616,
"DNK","INFRAMAINT","ROAD","EUR","A","1996",573831750,
"DNK","INFRAMAINT","ROAD","EUR","A","1997",505104495,
"DNK","INFRAMAINT","ROAD","EUR","A","1998",556585281,
"DNK","INFRAMAINT","ROAD","EUR","A","1999",581669020,
"DNK","INFRAMAINT","ROAD","EUR","A","2000",585875661,
"DNK","INFRAMAINT","ROAD","EUR","A","2001",647736880,
"DNK","INFRAMAINT","ROAD","EUR","A","2002",674113451,
"DNK","INFRAMAINT","ROAD","EUR","A","2003",703702208,
"DNK","INFRAMAINT","ROAD","EUR","A","2004",736703450,
"DNK","INFRAMAINT","ROAD","EUR","A","2005",767331383,
"DNK","INFRAMAINT","ROAD","EUR","A","2006",705312973,
"DNK","INFRAMAINT","ROAD","EUR","A","2007",728531930,
